,City,Avg.Temp.Jan-Normalized,Avg.Temp.Feb-Normalized,Avg.Temp.March-Normalized,Avg.Temp.April-Normalized,Avg.Temp.May-Normalized,Avg.Temp.June-Normalized,Avg.Temp.July-Normalized,Avg.Temp.Aug-Normalized,Avg.Temp.Sept-Normalized,Avg.Temp.Oct-Normalized,Avg.Temp.Nov-Normalized,Avg.Temp.Dec-Normalized,Avg.Percip.Jan-Normalized,Avg.Percip.Feb-Normalized,Avg.Percip.March-Normalized,Avg.Percip.April-Normalized,Avg.Percip.May-Normalized,Avg.Percip.June-Normalized,Avg.Percip.July-Normalized,Avg.Percip.Aug-Normalized,Avg.Percip.Sept-Normalized,Avg.Percip.Oct-Normalized,Avg.Percip.Nov-Normalized,Avg.Percip.Dec-Normalized,Avg.Humid.Jan-Normalized,Avg.Humid.Feb-Normalized,Avg.Humid.March-Normalized,Avg.Humid.April-Normalized,Avg.Humid.May-Normalized,Avg.Humid.June-Normalized,Avg.Humid.July-Normalized,Avg.Humid.Aug-Normalized,Avg.Humid.Sept-Normalized,Avg.Humid.Oct-Normalized,Avg.Humid.Nov-Normalized,Avg.Humid.Dec-Normalized,Healthcare Index-Normalized,HCI Contributors-Normalized,% Walking-Normalized,% Car-Normalized,% Bike-Normalized,% Public Transit-Normalized,total_hotels-Normalized,avg_rating-Normalized,num_good_hotels-Normalized,avg_price-Normalized,pct_good_hotels-Normalized,total_attractions-Normalized,num_good_attractions-Normalized,pct_good_attractions-Normalized,total_nature_parks-Normalized,total_fun_games-Normalized,total_sights_landmarks-Normalized,total_museums-Normalized,total_nightlife-Normalized,total_spas_wellness-Normalized,total_classes_workshops-Normalized,total_casinos_gambling-Normalized,total_boat_tours_water_sports-Normalized,total_water_amusement_parks-Normalized,total_zoos_aquariums-Normalized,total_good_for_kids-Normalized,total_good_for_adrenaline_seekers-Normalized,total_budget_friendly-Normalized,num_good_restaurants-Normalized,pct_good_restaurants-Normalized,num_michelin-Normalized,num_cheap_eats-Normalized,num_moderately_priced-Normalized,num_fine_dining-Normalized,2019_violent_crime_ct-Normalized,2019_property_crime_ct-Normalized,num_fatal_crashes-Normalized,fatalities_per_100m_miles-Normalized,car_thefts_per_100k_residents-Normalized,best_cuisines-American-Normalized,best_cuisines-Italian-Normalized,best_cuisines-Bar-Normalized,best_cuisines-Steakhouse-Normalized,best_cuisines-Asian-Normalized,best_cuisines-Mexican-Normalized,best_cuisines-Southwestern-Normalized,best_cuisines-Cafe-Normalized,best_cuisines-Pizza-Normalized,best_cuisines-Sushi-Normalized,best_cuisines-Seafood-Normalized,best_cuisines-Japanese-Normalized,best_cuisines-Thai-Normalized,best_cuisines-Deli-Normalized,best_cuisines-Diner-Normalized,best_cuisines-Mediterranean-Normalized,best_cuisines-Puerto Rican-Normalized,best_cuisines-Latin-Normalized,best_cuisines-European-Normalized,best_cuisines-Contemporary-Normalized,best_cuisines-Fast Food-Normalized,best_cuisines-Pub-Normalized,best_cuisines-Korean-Normalized,best_cuisines-Fusion-Normalized,best_cuisines-Indian-Normalized,best_cuisines-Chinese-Normalized,best_cuisines-French-Normalized,best_cuisines-Spanish-Normalized,best_cuisines-Middle Eastern-Normalized,best_cuisines-International-Normalized,best_cuisines-Barbecue-Normalized,best_cuisines-Romana-Normalized,best_cuisines-Caribbean-Normalized,best_cuisines-Peruvian-Normalized,best_cuisines-Cajun & Creole-Normalized,best_cuisines-Brew Pub-Normalized,best_cuisines-Hawaiian-Normalized,best_cuisines-Healthy-Normalized,best_cuisines-Gastropub-Normalized,best_cuisines-Irish-Normalized,best_cuisines-Lebanese-Normalized,best_cuisines-Grill-Normalized,best_cuisines-Wine Bar-Normalized,best_cuisines-Greek-Normalized,best_cuisines-German-Normalized,best_cuisines-Portuguese-Normalized,best_cuisines-Tuscan-Normalized,best_cuisines-Balti-Normalized,best_cuisines-Soups-Normalized,best_cuisines-Brazilian-Normalized,best_cuisines-South American-Normalized,best_cuisines-Quick Bites-Normalized,best_cuisines-Coffee & Tea-Normalized
0,"Huntsville, AL",0.552109181,0.548746518,0.601837672,0.595338983,0.696741855,0.639618138,0.615196078,0.64556962,0.673170732,0.627560521,0.605594406,0.557377049,0.266666667,0.214285714,0.125,0.083333333,0.166666667,0.090909091,0.230769231,0.375,0.526315789,0.555555556,0.333333333,0.277777778,0.632653061,0.612244898,0.728813559,0.757575758,0.782608696,0.8,0.846153846,0.761904762,0.681818182,0.672413793,0.690909091,0.673913043,0.850200573,0.071038251,0.130913091,0.9048,0,0,0.070466321,0.743243243,0.160427807,0.325362039,0.489313836,0.024160384,0.215686275,0.739514349,0.1,0.076732673,0.02058319,0.032345013,0.021329987,0.012106538,0.086206897,0,0.004739336,0,0,0.050377834,0.01242236,0.043478261,0.010223298,0.271812081,0,0.111392405,0.042004422,0.006912442,0.017988245,0.030156885,0.243281471,0.647540984,0.018128418,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Montgomery, AL",0.626550868,0.633704735,0.681470138,0.68220339,0.794486216,0.711217184,0.683823529,0.708860759,0.763414634,0.713221601,0.672727273,0.630517024,0.333333333,0.214285714,0.1875,0.166666667,0.25,0.181818182,0.230769231,0.375,0.526315789,0.611111111,0.388888889,0.333333333,0.673469388,0.632653061,0.745762712,0.742424242,0.710144928,0.771428571,0.8,0.761904762,0.666666667,0.637931034,0.654545455,0.673913043,0.435071633,0.016393443,0,1,0,0,0.094300518,0.621621622,0.14973262,0.218856087,0.341957255,0.017649075,0.117647059,0.525386313,0.033333333,0.056930693,0.036020583,0.045822102,0.013801757,0.00968523,0.120689655,0.012345679,0.014218009,0,0.111111111,0.057934509,0.01242236,0.049919485,0.005380683,0.177852349,0,0.126582278,0.032424466,0.006912442,0.001171328,0.00035209,0.299858557,0.647540984,0.024346769,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Anchorage,  AK",0.246898263,0.208913649,0.165390505,0.012711864,0.045112782,0.085918854,0.090686275,0.058227848,0.041463415,0.126629423,0.206993007,0.240857503,0.466666667,0.357142857,0.375,0.333333333,0.416666667,0.363636364,0.307692308,0.3125,0.421052632,0.555555556,0.444444444,0.388888889,0.87755102,0.918367347,0.830508475,0.878787879,0.869565217,0.885714286,0.923076923,0.952380952,0.909090909,0.931034483,0.818181818,0.826086957,0.701088825,0.158469945,0.189768977,0.8621,0.1725,0,0.243523316,0.86036036,0.28342246,0.342722702,0.253093363,0.079163811,0.349019608,0.406181015,0.54,0.084158416,0.087478559,0.086253369,0.022584693,0.023002421,0.137931034,0,0.047393365,0.014492754,0.111111111,0.20906801,0.236024845,0.144927536,0.01614205,0.365771812,0,0.146835443,0.075165807,0.010368664,0.074651216,0.098994498,0.016973126,0.516393443,0.034980758,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Fairbanks, AK",0,0,0,0,0.223057644,0.286396181,0.237745098,0.103797468,0,0,0,0,0.6,0.5,0.4375,0.416666667,0.5,0.272727273,0.384615385,0.4375,0.631578947,0.722222222,0.555555556,0.555555556,0.714285714,0.734693878,0.661016949,0.636363636,0.536231884,0.6,0.646153846,0.714285714,0.742424242,0.74137931,0.690909091,0.695652174,0.766762178,0.021857923,0,1,0,0,0.092227979,0.882882883,0.14973262,0.378153066,0.349831271,0.034612748,0.258823529,0.646799117,0.073333333,0.01980198,0.032590051,0.040431267,0.008782936,0.006053269,0.137931034,0,0.085308057,0.014492754,0,0.105793451,0.124223602,0.085346216,0.003497444,0.332214765,0.001226994,0.035443038,0.02284451,0.003456221,0.004915392,0.00967837,0.107496464,0.516393443,0.005489163,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Juneau, AK",0.320099256,0.239554318,0.186830015,0.008474576,0,0,0,0,0.02195122,0.145251397,0.248951049,0.284993695,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.836734694,0.87755102,0.847457627,0.909090909,0.913043478,0.942857143,1,1,1,1,0.872727273,0.760869565,0.541203438,0.021857923,0,1,0,0,0.050777202,0.954954955,0.07486631,0.419105324,0.31496063,0.039924606,0.11372549,0.249448124,0.226666667,0.00990099,0.046312178,0.02425876,0.005018821,0.002421308,0.034482759,0,0.066350711,0,0.111111111,0.151133501,0.236024845,0.093397746,0.004573581,0.825503356,0,0.035443038,0.008474576,0.001152074,0.005793888,0.009178894,0.158415842,0.516393443,,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Phoenix, AZ",0.703473945,0.71448468,0.793261868,0.836864407,1,1,1,1,1,0.854748603,0.758041958,0.658259773,0.533333333,0.428571429,0.4375,0.416666667,0.5,0.454545455,0.538461538,0.5,0.631578947,0.722222222,0.555555556,0.5,0.081632653,0.020408163,0.033898305,0,0,0.014285714,0.123076923,0.126984127,0.121212121,0.034482759,0.018181818,0.108695652,0.770659026,0.43715847,0.104785479,0.8952,0,0.05960817,0.270466321,0.662162162,0.331550802,0.329336943,0.266591676,0.111720356,0.117647059,0.097130243,0.34,0.188118812,0.14922813,0.067385445,0.096612296,0.072639225,0.068965517,0.037037037,0.052132701,0.043478261,0.111111111,0.168765743,0.211180124,0.117552335,0.050578423,0.228187919,0,0.630379747,0.222549742,0.025345622,0.246627204,0.456922246,0.050919378,0.729508197,0.270265343,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Tucson, AZ",0.689826303,0.69637883,0.770290965,0.788135593,0.934837093,0.92601432,0.848039216,0.84556962,0.895121951,0.815642458,0.73986014,0.648171501,0.533333333,0.428571429,0.4375,0.416666667,0.5,0.454545455,0.461538462,0.5,0.631578947,0.722222222,0.555555556,0.5,0.06122449,0,0,0.015151515,0.014492754,0.057142857,0.261538462,0.285714286,0.227272727,0.068965517,0.036363636,0.065217391,0.697535817,0.338797814,0.142189219,0.7931,0.1725,0.03584827,0.247668394,0.851351351,0.379679144,0.310149972,0.33295838,0.132111035,0.243137255,0.17218543,0.673333333,0.222772277,0.145797599,0.226415094,0.096612296,0.079903148,0.465517241,0.061728395,0.023696682,0.057971014,0.222222222,0.161209068,0.080745342,0.154589372,0.043852569,0.355704698,0,0.37721519,0.134119381,0.014976959,0.07870903,0.145519455,0.073550212,0.729508197,0.064391331,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Little Rock, AR",0.563275434,0.558495822,0.627871363,0.641949153,0.741854637,0.706443914,0.705882353,0.729113924,0.719512195,0.661080074,0.627972028,0.561160151,0.4,0.285714286,0.125,0,0.083333333,0.181818182,0.307692308,0.4375,0.526315789,0.555555556,0.333333333,0.333333333,0.612244898,0.612244898,0.711864407,0.712121212,0.768115942,0.742857143,0.707692308,0.634920635,0.636363636,0.603448276,0.672727273,0.608695652,0.789111748,0.076502732,0.412541254,0.8,0,0,0.092227979,0.792792793,0.176470588,0.202290404,0.412823397,0.025873886,0.109803922,0.355408389,0.1,0.089108911,0.066895369,0.040431267,0.021329987,0.014527845,0.155172414,0,0.009478673,0.014492754,0.111111111,0.068010076,0.01863354,0.051529791,0.015873016,0.399328859,0,0.169620253,0.053795136,0.011520737,0.06306344,0.098347635,0.326732673,0.696721311,,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Fayetteville, AR",0.506203474,0.495821727,0.563552833,0.552966102,0.64160401,0.613365155,0.625,0.640506329,0.626829268,0.584729981,0.573426573,0.501891551,0.466666667,0.357142857,0.1875,0,0,0.090909091,0.307692308,0.375,0.526315789,0.5,0.388888889,0.388888889,0.571428571,0.591836735,0.694915254,0.727272727,0.811594203,0.814285714,0.753846154,0.682539683,0.666666667,0.655172414,0.654545455,0.586956522,0.659942693,0.06010929,0.305555556,0.8889,0,0,0.035233161,0.797297297,0.07486631,0.220317133,0.449943757,0.012679918,0.160784314,0.933774834,0.04,0.027227723,0.02058319,0.016172507,0.028858218,0.004842615,0.034482759,0,0.004739336,0,0,0.0302267,0.01863354,0.027375201,0.005649718,0.271812081,0,0.086075949,0.030582167,0.005760369,0.008073794,0.031204965,0.18387553,0.696721311,,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Los Angeles, CA",0.708436725,0.678272981,0.683001531,0.586864407,0.581453634,0.477326969,0.524509804,0.564556962,0.670731707,0.705772812,0.716083916,0.669609079,0.4,0.285714286,0.3125,0.416666667,0.5,0.454545455,0.538461538,0.5625,0.684210526,0.722222222,0.555555556,0.444444444,0.285714286,0.428571429,0.576271186,0.560606061,0.608695652,0.614285714,0.538461538,0.46031746,0.454545455,0.396551724,0.272727273,0.239130435,0.708997135,0.693989071,0.073982398,0.871,0.0805,0.067319717,1,0.576576577,0.598930481,0.389304284,0.13048369,0.478067169,0.341176471,0.068432671,0.726666667,0.599009901,0.608919383,0.442048518,0.422835634,0.611380145,0.189655172,0.024691358,0.018957346,0.101449275,0.777777778,0.453400504,0.254658385,0.346215781,1,1,1,0.311392405,1,1,0.731075739,0.905386152,0.27864215,0.450819672,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
