,City,Avg.Temp.Jan-Normalized,Avg.Temp.Feb-Normalized,Avg.Temp.March-Normalized,Avg.Temp.April-Normalized,Avg.Temp.May-Normalized,Avg.Temp.June-Normalized,Avg.Temp.July-Normalized,Avg.Temp.Aug-Normalized,Avg.Temp.Sept-Normalized,Avg.Temp.Oct-Normalized,Avg.Temp.Nov-Normalized,Avg.Temp.Dec-Normalized,Avg.Percip.Jan-Normalized,Avg.Percip.Feb-Normalized,Avg.Percip.March-Normalized,Avg.Percip.April-Normalized,Avg.Percip.May-Normalized,Avg.Percip.June-Normalized,Avg.Percip.July-Normalized,Avg.Percip.Aug-Normalized,Avg.Percip.Sept-Normalized,Avg.Percip.Oct-Normalized,Avg.Percip.Nov-Normalized,Avg.Percip.Dec-Normalized,Avg.Humid.Jan-Normalized,Avg.Humid.Feb-Normalized,Avg.Humid.March-Normalized,Avg.Humid.April-Normalized,Avg.Humid.May-Normalized,Avg.Humid.June-Normalized,Avg.Humid.July-Normalized,Avg.Humid.Aug-Normalized,Avg.Humid.Sept-Normalized,Avg.Humid.Oct-Normalized,Avg.Humid.Nov-Normalized,Avg.Humid.Dec-Normalized,Healthcare Index-Normalized,HCI Contributors-Normalized,% Walking-Normalized,% Car-Normalized,% Bike-Normalized,% Public Transit-Normalized,total_hotels-Normalized,avg_rating-Normalized,num_good_hotels-Normalized,avg_price-Normalized,pct_good_hotels-Normalized,total_attractions-Normalized,num_good_attractions-Normalized,pct_good_attractions-Normalized,total_nature_parks-Normalized,total_fun_games-Normalized,total_sights_landmarks-Normalized,total_museums-Normalized,total_nightlife-Normalized,total_spas_wellness-Normalized,total_classes_workshops-Normalized,total_casinos_gambling-Normalized,total_boat_tours_water_sports-Normalized,total_water_amusement_parks-Normalized,total_zoos_aquariums-Normalized,total_good_for_kids-Normalized,total_good_for_adrenaline_seekers-Normalized,total_budget_friendly-Normalized,num_good_restaurants-Normalized,pct_good_restaurants-Normalized,num_michelin-Normalized,num_cheap_eats-Normalized,num_moderately_priced-Normalized,num_fine_dining-Normalized,2019_violent_crime_ct-Normalized,2019_property_crime_ct-Normalized,num_fatal_crashes-Normalized,fatalities_per_100m_miles-Normalized,car_thefts_per_100k_residents-Normalized,best_cuisines-American-Normalized,best_cuisines-Italian-Normalized,best_cuisines-Bar-Normalized,best_cuisines-Steakhouse-Normalized,best_cuisines-Asian-Normalized,best_cuisines-Mexican-Normalized,best_cuisines-Southwestern-Normalized,best_cuisines-Cafe-Normalized,best_cuisines-Pizza-Normalized,best_cuisines-Sushi-Normalized,best_cuisines-Seafood-Normalized,best_cuisines-Japanese-Normalized,best_cuisines-Thai-Normalized,best_cuisines-Deli-Normalized,best_cuisines-Diner-Normalized,best_cuisines-Mediterranean-Normalized,best_cuisines-Puerto Rican-Normalized,best_cuisines-Latin-Normalized,best_cuisines-European-Normalized,best_cuisines-Contemporary-Normalized,best_cuisines-Fast Food-Normalized,best_cuisines-Pub-Normalized,best_cuisines-Korean-Normalized,best_cuisines-Fusion-Normalized,best_cuisines-Indian-Normalized,best_cuisines-Chinese-Normalized,best_cuisines-French-Normalized,best_cuisines-Spanish-Normalized,best_cuisines-Middle Eastern-Normalized,best_cuisines-International-Normalized,best_cuisines-Barbecue-Normalized,best_cuisines-Romana-Normalized,best_cuisines-Caribbean-Normalized,best_cuisines-Peruvian-Normalized,best_cuisines-Cajun & Creole-Normalized,best_cuisines-Brew Pub-Normalized,best_cuisines-Hawaiian-Normalized,best_cuisines-Healthy-Normalized,best_cuisines-Gastropub-Normalized,best_cuisines-Irish-Normalized,best_cuisines-Lebanese-Normalized,best_cuisines-Grill-Normalized,best_cuisines-Wine Bar-Normalized,best_cuisines-Greek-Normalized,best_cuisines-German-Normalized,best_cuisines-Portuguese-Normalized,best_cuisines-Tuscan-Normalized,best_cuisines-Balti-Normalized,best_cuisines-Soups-Normalized,best_cuisines-Brazilian-Normalized,best_cuisines-South American-Normalized,best_cuisines-Quick Bites-Normalized,best_cuisines-Coffee & Tea-Normalized
0,"Huntsville, AL",0.5521091811414393,0.5487465181058496,0.6018376722817764,0.5953389830508474,0.6967418546365913,0.6396181384248212,0.6151960784313725,0.6455696202531646,0.6731707317073172,0.6275605214152701,0.6055944055944056,0.5573770491803278,0.2666666666666666,0.2142857142857142,0.125,0.0833333333333333,0.1666666666666666,0.0909090909090909,0.2307692307692307,0.375,0.5263157894736842,0.5555555555555556,0.3333333333333333,0.2777777777777778,0.6326530612244898,0.6122448979591837,0.7288135593220338,0.7575757575757576,0.782608695652174,0.8,0.8461538461538461,0.7619047619047619,0.6818181818181818,0.6724137931034483,0.6909090909090909,0.6739130434782609,0.8502005730659027,0.0710382513661202,0.1309130913091309,0.9048,0.0,0.0,0.0704663212435233,0.7432432432432433,0.160427807486631,0.3253620385888015,0.4893138357705286,0.0241603838245373,0.2156862745098039,0.739514348785872,0.1,0.0767326732673267,0.0205831903945111,0.0323450134770889,0.0213299874529485,0.0121065375302663,0.0862068965517241,0.0,0.0047393364928909,0.0,0.0,0.0503778337531486,0.0124223602484472,0.0434782608695652,0.0102232983588915,0.2718120805369127,0.0,0.1113924050632911,0.0420044215180545,0.0069124423963133,0.0179882448911292,0.0301568845801126,0.2432814710042432,0.6475409836065574,0.0181284180676524,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Montgomery, AL",0.6265508684863524,0.6337047353760445,0.6814701378254212,0.6822033898305085,0.7944862155388471,0.7112171837708832,0.6838235294117649,0.7088607594936709,0.7634146341463414,0.7132216014897578,0.6727272727272727,0.6305170239596469,0.3333333333333333,0.2142857142857142,0.1875,0.1666666666666666,0.25,0.1818181818181818,0.2307692307692307,0.375,0.5263157894736842,0.6111111111111112,0.3888888888888889,0.3333333333333333,0.673469387755102,0.6326530612244898,0.7457627118644068,0.7424242424242424,0.7101449275362319,0.7714285714285715,0.8,0.7619047619047619,0.6666666666666666,0.6379310344827587,0.6545454545454545,0.6739130434782609,0.4350716332378224,0.0163934426229508,0.0,1.0,0.0,0.0,0.094300518134715,0.6216216216216216,0.1497326203208556,0.2188560869752051,0.3419572553430821,0.0176490747087045,0.1176470588235294,0.5253863134657837,0.0333333333333333,0.0569306930693069,0.0360205831903945,0.045822102425876,0.013801756587202,0.009685230024213,0.1206896551724138,0.0123456790123456,0.0142180094786729,0.0,0.1111111111111111,0.0579345088161209,0.0124223602484472,0.0499194847020934,0.005380683346785,0.1778523489932885,0.0,0.1265822784810126,0.032424465733235,0.0069124423963133,0.001171327574306,0.0003520896109,0.2998585572842998,0.6475409836065574,0.0243467692930929,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Anchorage, AK",0.2468982630272953,0.2089136490250696,0.1653905053598775,0.0127118644067796,0.0451127819548871,0.0859188544152745,0.090686274509804,0.0582278481012659,0.0414634146341464,0.1266294227188082,0.206993006993007,0.2408575031525851,0.4666666666666667,0.3571428571428571,0.375,0.3333333333333333,0.4166666666666667,0.3636363636363636,0.3076923076923077,0.3125,0.4210526315789473,0.5555555555555556,0.4444444444444444,0.3888888888888889,0.8775510204081632,0.9183673469387756,0.8305084745762712,0.8787878787878788,0.8695652173913043,0.8857142857142857,0.9230769230769232,0.9523809523809524,0.9090909090909092,0.9310344827586208,0.8181818181818182,0.8260869565217391,0.7010888252148997,0.1584699453551912,0.1897689768976898,0.8621,0.1725,0.0,0.2435233160621761,0.8603603603603606,0.2834224598930481,0.3427227020755446,0.2530933633295837,0.0791638108293351,0.3490196078431372,0.4061810154525386,0.54,0.0841584158415841,0.0874785591766723,0.0862533692722372,0.0225846925972396,0.023002421307506,0.1379310344827586,0.0,0.0473933649289099,0.0144927536231884,0.1111111111111111,0.2090680100755667,0.2360248447204969,0.144927536231884,0.0161420500403551,0.3657718120805369,0.0,0.1468354430379747,0.0751658069270449,0.01036866359447,0.0746512162981865,0.0989944975763133,0.0169731258840169,0.5163934426229507,0.0349807575450678,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Fairbanks, AK",0.0,0.0,0.0,0.0,0.2230576441102756,0.2863961813842482,0.2377450980392157,0.1037974683544304,0.0,0.0,0.0,0.0,0.6,0.5,0.4375,0.4166666666666667,0.5,0.2727272727272727,0.3846153846153846,0.4375,0.631578947368421,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.7346938775510204,0.6610169491525424,0.6363636363636364,0.5362318840579711,0.6,0.6461538461538462,0.7142857142857143,0.7424242424242424,0.7413793103448276,0.6909090909090909,0.6956521739130435,0.7667621776504299,0.0218579234972677,0.0,1.0,0.0,0.0,0.0922279792746114,0.882882882882883,0.1497326203208556,0.3781530660478707,0.3498312710911136,0.0346127484578478,0.2588235294117647,0.6467991169977926,0.0733333333333333,0.0198019801980198,0.0325900514579759,0.0404312668463611,0.0087829360100376,0.0060532687651331,0.1379310344827586,0.0,0.0853080568720379,0.0144927536231884,0.0,0.105793450881612,0.124223602484472,0.0853462157809984,0.0034974441754102,0.3322147651006711,0.0012269938650306,0.0354430379746835,0.0228445099484156,0.0034562211981566,0.0049153924993202,0.009678370234508,0.1074964639321075,0.5163934426229507,0.0054891634595908,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Juneau, AK",0.3200992555831266,0.2395543175487465,0.1868300153139356,0.0084745762711865,0.0,0.0,0.0,0.0,0.0219512195121952,0.1452513966480447,0.2489510489510489,0.2849936948297604,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.8775510204081632,0.847457627118644,0.9090909090909092,0.9130434782608696,0.9428571428571428,1.0,1.0,1.0,1.0,0.8727272727272727,0.7608695652173914,0.5412034383954155,0.0218579234972677,0.0,1.0,0.0,0.0,0.0507772020725388,0.9549549549549552,0.0748663101604278,0.4191053242232821,0.3149606299212598,0.0399246058944482,0.1137254901960784,0.249448123620309,0.2266666666666666,0.0099009900990099,0.04631217838765,0.0242587601078167,0.0050188205771643,0.0024213075060532,0.0344827586206896,0.0,0.0663507109004739,0.0,0.1111111111111111,0.1511335012594458,0.2360248447204969,0.0933977455716586,0.0045735808447672,0.825503355704698,0.0,0.0354430379746835,0.0084745762711864,0.0011520737327188,0.0057938881800497,0.0091788942748591,0.1584158415841584,0.5163934426229507,,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Phoenix, AZ",0.7034739454094293,0.7144846796657381,0.7932618683001531,0.836864406779661,1.0,1.0,1.0,1.0,1.0,0.8547486033519553,0.7580419580419581,0.6582597730138714,0.5333333333333333,0.4285714285714285,0.4375,0.4166666666666667,0.5,0.4545454545454545,0.5384615384615384,0.5,0.631578947368421,0.7222222222222222,0.5555555555555556,0.5,0.0816326530612244,0.0204081632653061,0.0338983050847457,0.0,0.0,0.0142857142857142,0.123076923076923,0.1269841269841269,0.1212121212121212,0.0344827586206896,0.0181818181818181,0.108695652173913,0.7706590257879655,0.4371584699453552,0.1047854785478547,0.8952,0.0,0.0596081700708628,0.2704663212435233,0.6621621621621623,0.3315508021390374,0.3293369429762365,0.2665916760404949,0.1117203564084989,0.1176470588235294,0.097130242825607,0.34,0.1881188118811881,0.1492281303602058,0.0673854447439353,0.096612296110414,0.072639225181598,0.0689655172413793,0.037037037037037,0.0521327014218009,0.0434782608695652,0.1111111111111111,0.1687657430730478,0.2111801242236025,0.1175523349436392,0.0505784234597793,0.2281879194630872,0.0,0.6303797468354431,0.2225497420781134,0.0253456221198156,0.2466272040829132,0.4569222455129045,0.0509193776520509,0.7295081967213114,0.2702653433259064,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Tucson, AZ",0.6898263027295286,0.6963788300835655,0.7702909647779479,0.788135593220339,0.9348370927318294,0.9260143198090692,0.8480392156862744,0.8455696202531647,0.8951219512195122,0.8156424581005586,0.7398601398601399,0.648171500630517,0.5333333333333333,0.4285714285714285,0.4375,0.4166666666666667,0.5,0.4545454545454545,0.4615384615384615,0.5,0.631578947368421,0.7222222222222222,0.5555555555555556,0.5,0.0612244897959183,0.0,0.0,0.0151515151515151,0.0144927536231884,0.0571428571428571,0.2615384615384615,0.2857142857142857,0.2272727272727272,0.0689655172413793,0.0363636363636363,0.0652173913043478,0.6975358166189112,0.3387978142076502,0.1421892189218921,0.7931,0.1725,0.0358482701125469,0.2476683937823834,0.8513513513513515,0.3796791443850267,0.3101499720682394,0.3329583802024747,0.1321110349554489,0.2431372549019607,0.1721854304635761,0.6733333333333333,0.2227722772277227,0.1457975986277873,0.2264150943396226,0.096612296110414,0.0799031476997578,0.4655172413793103,0.0617283950617283,0.0236966824644549,0.0579710144927536,0.2222222222222222,0.1612090680100755,0.0807453416149068,0.1545893719806763,0.043852569276298,0.3557046979865771,0.0,0.3772151898734177,0.1341193809874723,0.0149769585253456,0.078709029680604,0.1455194549980348,0.0735502121640735,0.7295081967213114,0.0643913307676726,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Little Rock, AR",0.5632754342431762,0.5584958217270194,0.6278713629402757,0.641949152542373,0.7418546365914784,0.7064439140811456,0.7058823529411764,0.7291139240506328,0.7195121951219512,0.6610800744878956,0.627972027972028,0.5611601513240858,0.4,0.2857142857142857,0.125,0.0,0.0833333333333333,0.1818181818181818,0.3076923076923077,0.4375,0.5263157894736842,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.6122448979591837,0.6122448979591837,0.711864406779661,0.7121212121212122,0.7681159420289855,0.7428571428571429,0.7076923076923077,0.6349206349206349,0.6363636363636364,0.603448275862069,0.6727272727272727,0.6086956521739131,0.7891117478510028,0.0765027322404371,0.4125412541254125,0.8,0.0,0.0,0.0922279792746114,0.7927927927927928,0.1764705882352941,0.202290404365949,0.4128233970753656,0.0258738862234407,0.1098039215686274,0.3554083885209713,0.1,0.0891089108910891,0.0668953687821612,0.0404312668463611,0.0213299874529485,0.0145278450363196,0.1551724137931034,0.0,0.0094786729857819,0.0144927536231884,0.1111111111111111,0.0680100755667506,0.0186335403726708,0.0515297906602254,0.0158730158730158,0.3993288590604026,0.0,0.1696202531645569,0.05379513633014,0.0115207373271889,0.0630634399380869,0.0983476352679156,0.3267326732673267,0.6967213114754099,,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Fayetteville, AR",0.5062034739454095,0.4958217270194985,0.563552833078101,0.5529661016949152,0.6416040100250624,0.6133651551312649,0.625,0.640506329113924,0.626829268292683,0.5847299813780261,0.5734265734265734,0.5018915510718789,0.4666666666666667,0.3571428571428571,0.1875,0.0,0.0,0.0909090909090909,0.3076923076923077,0.375,0.5263157894736842,0.5,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.5918367346938775,0.6949152542372882,0.7272727272727273,0.8115942028985508,0.8142857142857143,0.7538461538461538,0.6825396825396826,0.6666666666666666,0.6551724137931034,0.6545454545454545,0.5869565217391305,0.6599426934097421,0.0601092896174863,0.3055555555555555,0.8889,0.0,0.0,0.0352331606217616,0.7972972972972974,0.0748663101604278,0.2203171329122083,0.4499437570303711,0.0126799177518848,0.1607843137254902,0.933774834437086,0.04,0.0272277227722772,0.0205831903945111,0.0161725067385444,0.0288582183186951,0.0048426150121065,0.0344827586206896,0.0,0.0047393364928909,0.0,0.0,0.0302267002518891,0.0186335403726708,0.0273752012882447,0.0056497175141242,0.2718120805369127,0.0,0.0860759493670886,0.0305821665438467,0.0057603686635944,0.0080737936371812,0.0312049652823267,0.1838755304101838,0.6967213114754099,,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Los Angeles, CA",0.7084367245657569,0.6782729805013927,0.6830015313935681,0.586864406779661,0.581453634085213,0.4773269689737472,0.5245098039215688,0.5645569620253164,0.6707317073170732,0.7057728119180634,0.7160839160839161,0.6696090794451449,0.4,0.2857142857142857,0.3125,0.4166666666666667,0.5,0.4545454545454545,0.5384615384615384,0.5625,0.6842105263157895,0.7222222222222222,0.5555555555555556,0.4444444444444444,0.2857142857142857,0.4285714285714285,0.576271186440678,0.5606060606060606,0.6086956521739131,0.6142857142857143,0.5384615384615384,0.4603174603174603,0.4545454545454545,0.396551724137931,0.2727272727272727,0.2391304347826087,0.7089971346704871,0.6939890710382514,0.0739823982398239,0.871,0.0805,0.0673197165485619,1.0,0.5765765765765766,0.5989304812834224,0.3893042843023505,0.1304836895388076,0.478067169294037,0.3411764705882353,0.0684326710816777,0.7266666666666667,0.599009900990099,0.6089193825042881,0.4420485175202156,0.4228356336260979,0.6113801452784504,0.1896551724137931,0.0246913580246913,0.0189573459715639,0.1014492753623188,0.7777777777777778,0.4534005037783375,0.2546583850931677,0.3462157809983897,1.0,1.0,1.0,0.3113924050632911,1.0,1.0,0.7310757388776172,0.905386152233722,0.2786421499292786,0.4508196721311476,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
